모델명,ANT 01,,,
PM-OM900_06,910MHz,,955MHz,
deg,수평,수직,수평,수직
-180,4.58,-29.83,4.65,-30.26
-179,4.58,-28.27,4.65,-26.82
-178,4.57,-26.25,4.64,-24.67
-177,4.56,-23.83,4.62,-22.49
-176,4.54,-22.03,4.6,-20.87
-175,4.52,-20.49,4.58,-19.44
-174,4.5,-19.18,4.55,-18.21
-173,4.47,-17.99,4.52,-17.13
-172,4.45,-17.02,4.48,-16.31
-171,4.41,-16.11,4.44,-15.57
-170,4.37,-15.32,4.39,-14.91
-169,4.33,-14.59,4.33,-14.3
-168,4.29,-13.97,4.28,-13.74
-167,4.24,-13.45,4.22,-13.24
-166,4.19,-12.92,4.15,-12.72
-165,4.13,-12.43,4.08,-12.22
-164,4.07,-11.97,4,-11.73
-163,4.01,-11.54,3.92,-11.26
-162,3.94,-11.13,3.83,-10.81
-161,3.86,-10.71,3.74,-10.42
-160,3.79,-10.3,3.64,-10.02
-159,3.7,-9.94,3.53,-9.65
-158,3.61,-9.64,3.42,-9.23
-157,3.52,-9.45,3.3,-8.89
-156,3.41,-9.28,3.17,-8.48
-155,3.3,-9.17,3.04,-8.14
-154,3.19,-9.03,2.9,-7.67
-153,3.07,-8.96,2.75,-7.3
-152,2.94,-8.92,2.59,-6.83
-151,2.81,-8.93,2.43,-6.55
-150,2.67,-8.89,2.26,-6.27
-149,2.52,-8.78,2.08,-6.11
-148,2.36,-8.51,1.89,-5.92
-147,2.2,-8.26,1.69,-5.81
-146,2.03,-7.97,1.5,-5.78
-145,1.86,-7.76,1.29,-5.85
-144,1.67,-7.5,1.07,-5.99
-143,1.48,-7.29,0.85,-6.13
-142,1.28,-7.06,0.62,-6.31
-141,1.08,-6.98,0.39,-6.45
-140,0.87,-6.99,0.15,-6.55
-139,0.66,-7.08,-0.1,-6.54
-138,0.45,-7.21,-0.33,-6.46
-137,0.23,-7.35,-0.57,-6.39
-136,0.02,-7.5,-0.8,-6.34
-135,-0.19,-7.72,-1.02,-6.25
-134,-0.39,-7.96,-1.23,-6.16
-133,-0.59,-8.17,-1.43,-6.1
-132,-0.77,-8.32,-1.6,-6.14
-131,-0.94,-8.51,-1.75,-6.26
-130,-1.08,-8.83,-1.88,-6.46
-129,-1.21,-9.29,-1.96,-6.79
-128,-1.31,-9.83,-2.02,-7.27
-127,-1.37,-10.41,-2.04,-7.83
-126,-1.41,-11.34,-2.01,-8.57
-125,-1.4,-12.4,-1.95,-9.35
-124,-1.37,-13.74,-1.85,-10.45
-123,-1.3,-15.15,-1.72,-11.74
-122,-1.19,-16.37,-1.55,-13.01
-121,-1.07,-16.35,-1.37,-13.95
-120,-0.9,-14.94,-1.14,-14.73
-119,-0.72,-13.16,-0.9,-15.14
-118,-0.52,-11.37,-0.66,-14.72
-117,-0.3,-9.62,-0.4,-13.62
-116,-0.06,-7.96,-0.13,-12.18
-115,0.18,-6.59,0.14,-10.64
-114,0.43,-5.3,0.41,-8.9
-113,0.69,-4.15,0.68,-7.31
-112,0.94,-3.14,0.94,-5.92
-111,1.2,-2.24,1.21,-4.64
-110,1.46,-1.51,1.47,-3.62
-109,1.7,-0.78,1.71,-2.67
-108,1.95,-0.17,1.96,-1.86
-107,2.18,0.38,2.18,-1.04
-106,2.41,0.84,2.41,-0.36
-105,2.64,1.4,2.62,0.33
-104,2.85,1.91,2.83,0.97
-103,3.05,2.35,3.02,1.69
-102,3.26,2.63,3.21,2.28
-101,3.45,2.86,3.38,2.79
-100,3.62,3.1,3.54,3.19
-99,3.8,3.35,3.7,3.6
-98,3.95,3.56,3.84,3.93
-97,4.11,3.75,3.98,4.17
-96,4.25,3.94,4.09,4.37
-95,4.38,4.15,4.21,4.57
-94,4.51,4.32,4.32,4.79
-93,4.62,4.46,4.41,4.96
-92,4.73,4.53,4.5,5.05
-91,4.82,4.58,4.57,5.13
-90,4.91,4.68,4.65,5.16
-89,5,4.68,4.71,5.16
-88,5.07,4.73,4.76,5.11
-87,5.13,4.73,4.81,5.07
-86,5.19,4.67,4.85,5.03
-85,5.24,4.6,4.88,4.94
-84,5.27,4.5,4.9,4.81
-83,5.3,4.36,4.91,4.66
-82,5.33,4.14,4.91,4.44
-81,5.34,3.9,4.91,4.16
-80,5.35,3.65,4.9,3.84
-79,5.36,3.39,4.89,3.5
-78,5.35,3.13,4.86,3.12
-77,5.34,2.86,4.83,2.69
-76,5.32,2.56,4.8,2.23
-75,5.29,2.25,4.75,1.75
-74,5.27,1.95,4.71,1.22
-73,5.23,1.62,4.66,0.67
-72,5.19,1.22,4.6,0.15
-71,5.14,0.72,4.53,-0.36
-70,5.09,0.2,4.46,-0.91
-69,5.03,-0.34,4.39,-1.52
-68,4.97,-0.94,4.31,-2.17
-67,4.91,-1.68,4.22,-2.89
-66,4.83,-2.54,4.13,-3.72
-65,4.75,-3.42,4.04,-4.61
-64,4.67,-4.26,3.94,-5.48
-63,4.59,-5.15,3.84,-6.34
-62,4.5,-6.11,3.74,-7.23
-61,4.41,-7.14,3.64,-8.15
-60,4.32,-8.18,3.53,-9.05
-59,4.22,-9.25,3.42,-9.95
-58,4.12,-10.36,3.32,-10.84
-57,4.02,-11.5,3.21,-11.56
-56,3.91,-12.54,3.1,-11.96
-55,3.81,-13.2,2.99,-12.03
-54,3.7,-13.5,2.88,-11.81
-53,3.6,-13.75,2.78,-11.44
-52,3.49,-14.1,2.68,-11.12
-51,3.39,-14.39,2.57,-10.94
-50,3.29,-14.59,2.48,-10.91
-49,3.18,-14.85,2.38,-10.95
-48,3.08,-15.2,2.29,-10.99
-47,2.98,-15.44,2.2,-11.04
-46,2.88,-15.41,2.12,-11.07
-45,2.79,-15.17,2.05,-11
-44,2.69,-14.72,1.97,-10.84
-43,2.6,-13.95,1.9,-10.63
-42,2.52,-12.96,1.83,-10.3
-41,2.44,-12,1.77,-9.8
-40,2.36,-11.17,1.72,-9.19
-39,2.28,-10.44,1.66,-8.59
-38,2.21,-9.8,1.62,-8.04
-37,2.15,-9.28,1.58,-7.58
-36,2.09,-8.82,1.54,-7.19
-35,2.03,-8.44,1.51,-6.89
-34,1.98,-8.12,1.47,-6.66
-33,1.93,-7.89,1.45,-6.49
-32,1.88,-7.75,1.43,-6.4
-31,1.84,-7.69,1.41,-6.4
-30,1.8,-7.68,1.39,-6.48
-29,1.77,-7.73,1.38,-6.61
-28,1.74,-7.86,1.37,-6.79
-27,1.71,-8.07,1.37,-7.03
-26,1.69,-8.34,1.36,-7.35
-25,1.67,-8.62,1.36,-7.71
-24,1.65,-8.91,1.35,-8.11
-23,1.64,-9.19,1.36,-8.49
-22,1.62,-9.46,1.36,-8.87
-21,1.62,-9.7,1.36,-9.24
-20,1.61,-9.94,1.36,-9.62
-19,1.6,-10.18,1.37,-10.03
-18,1.59,-10.41,1.37,-10.38
-17,1.59,-10.67,1.38,-10.72
-16,1.59,-10.95,1.38,-11.01
-15,1.59,-11.29,1.38,-11.35
-14,1.58,-11.66,1.39,-11.7
-13,1.59,-12.09,1.39,-12.13
-12,1.59,-12.55,1.39,-12.6
-11,1.59,-13.06,1.39,-13.15
-10,1.59,-13.65,1.39,-13.76
-9,1.59,-14.25,1.4,-14.44
-8,1.6,-15.05,1.4,-15.31
-7,1.6,-15.83,1.4,-16.17
-6,1.61,-16.85,1.4,-17.26
-5,1.61,-17.92,1.4,-18.42
-4,1.61,-19.25,1.4,-19.84
-3,1.61,-20.81,1.39,-21.47
-2,1.61,-22.65,1.39,-23.46
-1,1.61,-25.07,1.39,-26.23
0,1.61,-28.48,1.39,-30.24
1,1.62,-33.53,1.38,-34.11
2,1.62,-37.69,1.39,-31.89
3,1.62,-32.21,1.38,-27.62
4,1.62,-27.49,1.38,-24.55
5,1.62,-24.41,1.38,-22.38
6,1.62,-22.2,1.38,-20.71
7,1.61,-20.49,1.37,-19.3
8,1.61,-19.07,1.37,-18.08
9,1.61,-17.89,1.37,-17.04
10,1.61,-16.85,1.36,-16.15
11,1.61,-15.92,1.36,-15.39
12,1.6,-15.05,1.35,-14.65
13,1.6,-14.32,1.35,-14.03
14,1.6,-13.72,1.34,-13.51
15,1.6,-13.22,1.34,-13.08
16,1.6,-12.81,1.33,-12.73
17,1.61,-12.49,1.32,-12.44
18,1.61,-12.29,1.32,-12.17
19,1.61,-12.12,1.31,-11.9
20,1.62,-11.97,1.3,-11.6
21,1.63,-11.78,1.3,-11.32
22,1.65,-11.5,1.3,-10.99
23,1.66,-11.21,1.3,-10.66
24,1.68,-10.88,1.3,-10.25
25,1.7,-10.54,1.3,-9.82
26,1.72,-10.21,1.3,-9.47
27,1.75,-9.81,1.31,-9.18
28,1.78,-9.43,1.31,-8.96
29,1.82,-9.07,1.32,-8.74
30,1.86,-8.86,1.35,-8.58
31,1.9,-8.81,1.37,-8.53
32,1.95,-8.84,1.39,-8.61
33,2,-8.91,1.42,-8.79
34,2.06,-9.04,1.45,-9.07
35,2.11,-9.25,1.48,-9.38
36,2.18,-9.64,1.53,-9.82
37,2.24,-10.08,1.57,-10.3
38,2.32,-10.67,1.63,-10.91
39,2.39,-11.15,1.68,-11.47
40,2.47,-11.73,1.75,-12.11
41,2.55,-12.21,1.82,-12.58
42,2.63,-12.88,1.88,-13.1
43,2.72,-13.51,1.96,-13.43
44,2.82,-14.54,2.05,-13.89
45,2.91,-15.52,2.13,-14.27
46,3,-17,2.21,-14.83
47,3.1,-18.37,2.31,-15.17
48,3.2,-19.69,2.41,-15.27
49,3.3,-19.93,2.51,-15.25
50,3.41,-19.53,2.62,-15.37
51,3.51,-19.12,2.73,-15.58
52,3.62,-18.32,2.84,-15.89
53,3.72,-17.43,2.94,-16.1
54,3.83,-16.24,3.06,-16.19
55,3.94,-15.27,3.17,-16.03
56,4.04,-14.03,3.28,-15.31
57,4.14,-12.85,3.4,-14.33
58,4.24,-11.44,3.51,-12.94
59,4.34,-10.18,3.62,-11.66
60,4.43,-8.96,3.73,-10.46
61,4.53,-7.86,3.84,-9.44
62,4.62,-6.87,3.95,-8.5
63,4.7,-6,4.05,-7.67
64,4.79,-5.01,4.15,-6.76
65,4.86,-4.15,4.24,-5.98
66,4.94,-3.25,4.33,-5.06
67,5.01,-2.53,4.43,-4.29
68,5.07,-1.77,4.51,-3.49
69,5.13,-1.06,4.59,-2.78
70,5.19,-0.44,4.66,-2.13
71,5.24,0.13,4.73,-1.45
72,5.28,0.66,4.8,-0.77
73,5.32,1.15,4.85,-0.15
74,5.35,1.6,4.9,0.44
75,5.37,2.01,4.95,0.99
76,5.39,2.38,4.99,1.47
77,5.39,2.71,5.02,1.89
78,5.4,3,5.04,2.29
79,5.39,3.24,5.05,2.67
80,5.38,3.46,5.06,3.02
81,5.35,3.67,5.06,3.34
82,5.33,3.87,5.05,3.64
83,5.29,4.04,5.04,3.88
84,5.25,4.21,5.01,4.06
85,5.2,4.39,4.97,4.2
86,5.14,4.56,4.93,4.33
87,5.07,4.67,4.88,4.43
88,4.99,4.74,4.81,4.53
89,4.91,4.79,4.74,4.63
90,4.82,4.84,4.66,4.7
91,4.72,4.88,4.57,4.71
92,4.61,4.89,4.47,4.68
93,4.49,4.88,4.35,4.62
94,4.37,4.84,4.23,4.5
95,4.23,4.76,4.1,4.32
96,4.1,4.64,3.96,4.11
97,3.94,4.48,3.81,3.92
98,3.79,4.28,3.64,3.71
99,3.62,4.06,3.47,3.45
100,3.44,3.81,3.29,3.16
101,3.26,3.53,3.09,2.79
102,3.08,3.22,2.9,2.33
103,2.88,2.85,2.68,1.77
104,2.68,2.42,2.46,1.19
105,2.47,1.93,2.23,0.65
106,2.25,1.42,1.99,0.12
107,2.03,0.86,1.74,-0.42
108,1.81,0.28,1.49,-0.94
109,1.58,-0.33,1.22,-1.45
110,1.35,-1,0.95,-2.1
111,1.12,-1.71,0.69,-2.93
112,0.89,-2.49,0.41,-3.95
113,0.67,-3.27,0.14,-5.06
114,0.46,-4.08,-0.12,-6.23
115,0.24,-5,-0.39,-7.43
116,0.04,-6.06,-0.64,-8.64
117,-0.15,-7.3,-0.88,-9.92
118,-0.32,-8.57,-1.1,-11.08
119,-0.48,-9.96,-1.3,-12
120,-0.62,-11.43,-1.47,-12.5
121,-0.73,-12.64,-1.62,-12.41
122,-0.81,-13.22,-1.74,-11.71
123,-0.87,-13.23,-1.81,-10.77
124,-0.89,-12.86,-1.85,-9.91
125,-0.89,-12.2,-1.86,-9.25
126,-0.86,-11.44,-1.83,-8.75
127,-0.81,-10.86,-1.77,-8.38
128,-0.74,-10.5,-1.67,-8.11
129,-0.64,-10.22,-1.54,-7.87
130,-0.51,-9.92,-1.38,-7.64
131,-0.38,-9.66,-1.21,-7.41
132,-0.23,-9.42,-1.02,-7.19
133,-0.07,-9.29,-0.82,-7.04
134,0.09,-9.25,-0.6,-6.98
135,0.27,-9.26,-0.38,-7.02
136,0.45,-9.21,-0.15,-7.12
137,0.63,-9.01,0.08,-7.28
138,0.82,-8.75,0.31,-7.51
139,1,-8.59,0.53,-7.72
140,1.18,-8.61,0.76,-7.91
141,1.37,-8.67,0.99,-7.99
142,1.54,-8.66,1.19,-8
143,1.71,-8.51,1.4,-7.91
144,1.89,-8.33,1.61,-7.73
145,2.05,-8.2,1.8,-7.51
146,2.21,-8.17,1.99,-7.29
147,2.37,-8.17,2.18,-7.12
148,2.52,-8.22,2.35,-7.03
149,2.66,-8.24,2.52,-7
150,2.8,-8.3,2.68,-7.03
151,2.93,-8.38,2.83,-7.17
152,3.06,-8.48,2.98,-7.39
153,3.18,-8.61,3.12,-7.71
154,3.29,-8.76,3.25,-8.1
155,3.4,-8.97,3.38,-8.57
156,3.51,-9.19,3.5,-9.02
157,3.61,-9.46,3.61,-9.54
158,3.7,-9.65,3.72,-9.94
159,3.79,-9.84,3.82,-10.36
160,3.72,-10.05,3.76,-10.79
161,3.93,-10.29,3.99,-11.22
162,3.94,-10.6,3.99,-11.67
163,4.01,-10.99,4.12,-12.17
164,4.01,-11.46,4.09,-12.71
165,4.08,-11.95,4.15,-13.25
166,4.27,-12.47,4.36,-13.81
167,4.31,-13.06,4.41,-14.42
168,4.36,-13.69,4.46,-15.1
169,4.35,-14.43,4.45,-15.84
170,4.44,-15.22,4.56,-16.65
171,4.47,-16.2,4.59,-17.63
172,4.5,-17.23,4.62,-18.64
173,4.53,-18.58,4.66,-20.01
174,4.54,-19.93,4.67,-21.39
175,4.56,-21.65,4.69,-23.28
176,4.57,-23.25,4.7,-25.31
177,4.58,-25.37,4.7,-28.37
178,4.59,-27.19,4.71,-31.19
179,4.59,-29.28,4.72,-32.46
